date_log,location,temperature,precipitation,weather_condition
2023-01-10,Bordeaux,15.8,0.0,ensoleillé
2023-01-10,Toulouse,17.8,2.3,ensoleillé
2023-01-10,Lille,21.1,0.0,neige
2023-01-10,Strasbourg,20.9,1.6,nuageux
2023-01-10,Nantes,15.6,1.2,neige
2023-01-10,Chamonix,20.3,0.0,pluie
2023-01-11,Paris,21.8,1.8,ensoleillé
2023-01-11,Lyon,25.4,2.6,pluie
2023-01-11,Marseille,13.1,0.0,nuageux
2023-01-11,Nice,22.6,1.8,nuageux
2023-01-11,Bordeaux,22.6,6.8,ensoleillé
2023-01-11,Toulouse,22.9,2.7,nuageux
2023-01-11,Lille,24.8,2.0,ensoleillé
2023-01-11,Strasbourg,18.4,2.1,nuageux
2023-01-11,Nantes,16.1,0.6,nuageux
2023-01-11,Chamonix,17.6,1.1,neige
2023-01-12,Paris,31.6,0.0,pluie
2023-01-12,Lyon,23.4,0.0,ensoleillé
2023-01-12,Marseille,17.6,2.6,nuageux
2023-01-12,Nice,20.3,0.0,ensoleillé
2023-01-12,Bordeaux,16.4,2.0,orage
2023-01-12,Toulouse,16.3,1.3,pluie
2023-01-12,Lille,20.2,0.0,ensoleillé
2023-01-12,Strasbourg,30.7,2.0,nuageux
2023-01-12,Nantes,9.9,1.3,nuageux
2023-01-12,Chamonix,16.7,2.3,ensoleillé
2023-01-13,Paris,16.0,0.8,pluie
2023-01-13,Lyon,22.5,2.3,nuageux
2023-01-13,Marseille,14.0,0.5,pluie
2023-01-13,Nice,17.6,0.0,nuageux
2023-01-13,Bordeaux,28.8,1.6,ensoleillé
2023-01-13,Toulouse,13.7,2.4,ensoleillé
2023-01-13,Lille,30.6,2.5,ensoleillé
2023-01-13,Strasbourg,12.4,0.3,orage
2023-01-13,Nantes,26.3,0.0,pluie
2023-01-13,Chamonix,22.2,2.2,pluie
2023-01-14,Paris,15.4,0.9,ensoleillé
2023-01-14,Lyon,3.8,0.0,ensoleillé
2023-01-14,Marseille,18.7,0.0,pluie
2023-01-14,Nice,28.2,0.0,orage
2023-01-14,Bordeaux,17.8,1.2,ensoleillé
2023-01-14,Toulouse,27.2,0.0,nuageux
2023-01-14,Lille,25.8,1.0,ensoleillé
2023-01-14,Strasbourg,15.1,1.7,pluie
2023-01-14,Nantes,21.0,0.1,pluie
2023-01-14,Chamonix,20.3,0.4,ensoleillé
2023-01-15,Paris,20.6,2.0,nuageux
2023-01-15,Lyon,27.9,0.0,nuageux
2023-01-15,Marseille,30.7,0.0,ensoleillé
2023-01-15,Nice,19.2,1.9,pluie
2023-01-15,Bordeaux,21.4,0.1,nuageux
2023-01-15,Toulouse,19.0,0.3,ensoleillé
2023-01-15,Lille,17.1,2.3,nuageux
2023-01-15,Strasbourg,21.8,0.0,pluie
2023-01-15,Nantes,24.5,1.5,ensoleillé
2023-01-15,Chamonix,24.1,1.9,ensoleillé
2023-01-16,Paris,15.9,0.2,neige
2023-01-16,Lyon,23.7,1.9,nuageux
2023-01-16,Marseille,19.9,1.2,nuageux
2023-01-16,Nice,26.4,0.1,nuageux
2023-01-16,Bordeaux,22.7,0.7,ensoleillé
2023-01-16,Toulouse,18.9,2.6,ensoleillé
2023-01-16,Lille,24.1,2.2,ensoleillé
2023-01-16,Strasbourg,26.5,1.0,nuageux
2023-01-16,Nantes,23.4,0.5,ensoleillé
2023-01-16,Chamonix,21.6,0.8,ensoleillé
2023-01-17,Paris,20.5,1.9,ensoleillé
2023-01-17,Lyon,15.9,4.1,nuageux
2023-01-17,Marseille,15.0,0.0,ensoleillé
2023-01-17,Nice,25.8,2.2,orage
2023-01-17,Bordeaux,23.1,1.9,pluie
2023-01-17,Toulouse,19.9,0.0,ensoleillé
2023-01-17,Lille,20.4,0.0,ensoleillé
2023-01-17,Strasbourg,24.9,0.8,nuageux
2023-01-17,Nantes,15.9,0.5,ensoleillé
2023-01-17,Chamonix,22.1,0.2,ensoleillé
2023-01-18,Paris,15.9,1.4,orage
2023-01-18,Lyon,21.2,0.2,nuageux
2023-01-18,Marseille,17.6,1.3,nuageux
2023-01-18,Nice,12.8,0.0,pluie
2023-01-18,Bordeaux,16.4,0.7,pluie
2023-01-18,Toulouse,21.6,3.2,ensoleillé
2023-01-18,Lille,24.3,0.8,ensoleillé
2023-01-18,Strasbourg,19.9,0.0,nuageux
2023-01-18,Nantes,19.9,0.6,nuageux
2023-01-18,Chamonix,21.6,0.0,nuageux
2023-01-19,Paris,22.6,3.3,pluie
2023-01-19,Lyon,19.5,1.6,nuageux
2023-01-19,Marseille,23.5,0.4,neige
2023-01-19,Nice,21.1,1.0,ensoleillé
2023-01-19,Bordeaux,20.5,0.0,nuageux
2023-01-19,Toulouse,20.1,1.7,ensoleillé
2023-01-19,Lille,27.3,2.4,pluie
2023-01-19,Strasbourg,30.8,0.0,ensoleillé
2023-01-19,Nantes,24.4,1.3,ensoleillé
2023-01-19,Chamonix,30.9,0.0,nuageux
2023-01-20,Paris,15.8,0.1,nuageux
2023-01-20,Lyon,9.4,0.2,ensoleillé
2023-01-20,Marseille,16.2,1.2,ensoleillé
2023-01-20,Nice,21.7,3.8,orage
2023-01-20,Bordeaux,24.8,0.1,nuageux
2023-01-20,Toulouse,15.5,1.7,pluie
2023-01-20,Lille,13.4,3.7,nuageux
2023-01-20,Strasbourg,25.9,0.3,ensoleillé
2023-01-20,Nantes,11.4,3.0,neige
2023-01-20,Chamonix,19.4,2.9,pluie
2023-01-21,Paris,12.0,0.1,neige
2023-01-21,Lyon,20.0,1.1,orage
2023-01-21,Marseille,17.7,1.9,pluie
2023-01-21,Nice,14.7,0.8,ensoleillé
2023-01-21,Bordeaux,20.6,1.8,nuageux
2023-01-21,Toulouse,23.6,0.0,ensoleillé
2023-01-21,Lille,12.3,2.9,nuageux
2023-01-21,Strasbourg,21.7,0.0,ensoleillé
2023-01-21,Nantes,27.8,1.2,ensoleillé
2023-01-21,Chamonix,25.9,1.1,neige
2023-01-22,Paris,30.3,3.6,ensoleillé
2023-01-22,Lyon,18.8,2.5,pluie
2023-01-22,Marseille,23.2,3.1,nuageux
2023-01-22,Nice,15.2,2.0,nuageux
2023-01-22,Bordeaux,25.3,0.0,neige
2023-01-22,Toulouse,14.1,0.0,neige
2023-01-22,Lille,18.7,2.1,nuageux
2023-01-22,Strasbourg,27.5,1.1,pluie
2023-01-22,Nantes,28.1,0.0,ensoleillé
2023-01-22,Chamonix,11.5,0.9,ensoleillé
2023-01-23,Paris,21.9,1.0,neige
2023-01-23,Lyon,9.7,0.9,nuageux
2023-01-23,Marseille,13.5,2.0,nuageux
2023-01-23,Nice,21.8,0.0,pluie
2023-01-23,Bordeaux,17.4,0.0,ensoleillé
2023-01-23,Toulouse,19.7,2.4,nuageux
2023-01-23,Lille,15.1,1.8,nuageux
2023-01-23,Strasbourg,17.3,0.0,pluie
2023-01-23,Nantes,19.5,0.0,ensoleillé
2023-01-23,Chamonix,17.2,0.0,neige
2023-01-24,Paris,29.8,1.1,ensoleillé
2023-01-24,Lyon,16.5,1.3,ensoleillé
2023-01-24,Marseille,19.4,0.7,nuageux
2023-01-24,Nice,23.1,2.1,nuageux
2023-01-24,Bordeaux,17.3,0.1,ensoleillé
2023-01-24,Toulouse,18.6,0.0,ensoleillé
2023-01-24,Lille,12.4,3.1,pluie
2023-01-24,Strasbourg,28.2,0.6,ensoleillé
2023-01-24,Nantes,22.9,1.5,nuageux
2023-01-24,Chamonix,35.4,2.7,nuageux
2023-01-25,Paris,19.4,0.0,nuageux
2023-01-25,Lyon,12.0,1.3,nuageux
2023-01-25,Marseille,16.2,0.0,nuageux
2023-01-25,Nice,16.8,0.0,orage
2023-01-25,Bordeaux,28.4,2.3,ensoleillé
2023-01-25,Toulouse,20.0,3.2,pluie
2023-01-25,Lille,20.4,0.0,ensoleillé
2023-01-25,Strasbourg,27.6,1.8,ensoleillé
2023-01-25,Nantes,14.8,0.7,nuageux
2023-01-25,Chamonix,15.6,0.0,ensoleillé
2023-01-26,Paris,24.6,3.9,ensoleillé
2023-01-26,Lyon,13.0,1.8,pluie
2023-01-26,Marseille,16.7,0.3,ensoleillé
2023-01-26,Nice,17.0,0.0,nuageux
2023-01-26,Bordeaux,20.2,0.0,neige
2023-01-26,Toulouse,21.4,0.9,neige
2023-01-26,Lille,18.8,0.0,ensoleillé
2023-01-26,Strasbourg,17.1,2.1,ensoleillé
2023-01-26,Nantes,22.5,0.0,ensoleillé
2023-01-26,Chamonix,20.5,2.1,orage
2023-01-27,Paris,11.7,1.8,pluie
2023-01-27,Lyon,16.7,1.9,pluie
2023-01-27,Marseille,16.2,0.0,ensoleillé
2023-01-27,Nice,11.9,1.1,ensoleillé
2023-01-27,Bordeaux,21.3,0.0,pluie
2023-01-27,Toulouse,23.2,0.0,pluie
2023-01-27,Lille,19.7,0.0,nuageux
2023-01-27,Strasbourg,16.7,1.1,neige
2023-01-27,Nantes,15.7,0.4,nuageux
2023-01-27,Chamonix,25.0,0.1,ensoleillé
2023-01-28,Paris,24.2,0.0,pluie
2023-01-28,Lyon,22.6,3.2,ensoleillé
2023-01-28,Marseille,7.6,0.0,nuageux
2023-01-28,Nice,22.9,0.7,orage
2023-01-28,Bordeaux,21.9,0.1,ensoleillé
2023-01-28,Toulouse,20.4,0.8,ensoleillé
2023-01-28,Lille,25.8,1.4,ensoleillé
2023-01-28,Strasbourg,21.7,0.4,nuageux
2023-01-28,Nantes,17.6,0.4,ensoleillé
2023-01-28,Chamonix,22.0,0.4,nuageux
2023-01-29,Paris,21.4,4.1,pluie
2023-01-29,Lyon,24.4,0.5,ensoleillé
2023-01-29,Marseille,26.0,0.4,nuageux
2023-01-29,Nice,9.8,0.0,ensoleillé
2023-01-29,Bordeaux,10.6,0.5,nuageux
2023-01-29,Toulouse,20.1,3.5,orage
2023-01-29,Lille,21.6,0.7,pluie
2023-01-29,Strasbourg,24.1,0.0,ensoleillé
2023-01-29,Nantes,21.2,2.2,nuageux
2023-01-29,Chamonix,12.6,2.7,ensoleillé
2023-01-30,Paris,21.7,0.4,ensoleillé
2023-01-30,Lyon,23.2,4.4,pluie
2023-01-30,Marseille,20.9,1.4,nuageux
2023-01-30,Nice,17.7,0.0,ensoleillé
2023-01-30,Bordeaux,24.2,0.0,pluie
2023-01-30,Toulouse,20.4,0.3,nuageux
2023-01-30,Lille,22.4,1.5,nuageux
2023-01-30,Strasbourg,25.2,0.2,ensoleillé
2023-01-30,Nantes,18.7,0.0,ensoleillé
2023-01-30,Chamonix,17.8,1.6,pluie
2023-01-31,Paris,23.8,0.0,orage
2023-01-31,Lyon,24.3,3.0,nuageux
2023-01-31,Marseille,22.1,3.8,pluie
2023-01-31,Nice,16.1,0.0,nuageux
2023-01-31,Bordeaux,11.1,3.2,ensoleillé
2023-01-31,Toulouse,23.3,0.9,ensoleillé
2023-01-31,Lille,21.4,0.0,ensoleillé
2023-01-31,Strasbourg,32.2,1.2,pluie
2023-01-31,Nantes,20.5,2.1,pluie
2023-01-31,Chamonix,22.4,1.3,pluie
2023-02-01,Paris,16.0,1.7,pluie
2023-02-01,Lyon,29.4,3.0,ensoleillé
2023-02-01,Marseille,28.0,0.2,ensoleillé
2023-02-01,Nice,15.1,0.8,ensoleillé
2023-02-01,Bordeaux,20.3,2.6,pluie
2023-02-01,Toulouse,11.5,3.3,pluie
2023-02-01,Lille,19.2,0.4,nuageux
2023-02-01,Strasbourg,14.9,0.0,nuageux
2023-02-01,Nantes,24.1,1.1,ensoleillé
2023-02-01,Chamonix,13.6,0.0,orage
2023-02-02,Paris,18.3,3.5,pluie
2023-02-02,Lyon,18.7,0.0,neige
2023-02-02,Marseille,18.8,0.6,pluie
2023-02-02,Nice,6.5,0.9,pluie
2023-02-02,Bordeaux,18.8,2.0,ensoleillé
2023-02-02,Toulouse,29.2,2.7,pluie
2023-02-02,Lille,18.7,0.0,ensoleillé
2023-02-02,Strasbourg,32.9,1.1,orage
2023-02-02,Nantes,20.1,1.0,pluie
2023-02-02,Chamonix,21.0,0.8,pluie
2023-02-03,Paris,17.1,0.2,pluie
2023-02-03,Lyon,19.8,0.2,ensoleillé
2023-02-03,Marseille,16.4,1.2,pluie
2023-02-03,Nice,18.7,3.3,ensoleillé
2023-02-03,Bordeaux,6.7,2.6,pluie
2023-02-03,Toulouse,26.2,0.0,pluie
2023-02-03,Lille,18.3,0.4,ensoleillé
2023-02-03,Strasbourg,13.0,0.0,pluie
2023-02-03,Nantes,14.4,3.6,nuageux
2023-02-03,Chamonix,24.7,2.9,ensoleillé
2023-02-04,Paris,23.6,0.0,pluie
2023-02-04,Lyon,17.4,1.7,ensoleillé
2023-02-04,Marseille,13.9,2.1,ensoleillé
2023-02-04,Nice,18.8,0.4,ensoleillé
2023-02-04,Bordeaux,23.6,1.7,ensoleillé
2023-02-04,Toulouse,18.2,2.7,pluie
2023-02-04,Lille,14.6,1.9,neige
2023-02-04,Strasbourg,23.0,0.5,ensoleillé
2023-02-04,Nantes,21.6,0.0,nuageux
2023-02-04,Chamonix,24.6,0.7,ensoleillé
2023-02-05,Paris,17.4,2.6,neige
2023-02-05,Lyon,16.5,0.0,nuageux
2023-02-05,Marseille,12.2,1.9,orage
2023-02-05,Nice,13.6,3.6,ensoleillé
2023-02-05,Bordeaux,9.6,3.5,neige
2023-02-05,Toulouse,21.1,0.9,ensoleillé
2023-02-05,Lille,17.3,1.6,neige
2023-02-05,Strasbourg,19.8,2.7,ensoleillé
2023-02-05,Nantes,20.6,1.2,ensoleillé
2023-02-05,Chamonix,18.2,0.9,nuageux
2023-02-06,Paris,21.5,0.0,pluie
2023-02-06,Lyon,13.3,2.1,ensoleillé
2023-02-06,Marseille,20.9,0.7,nuageux
2023-02-06,Nice,20.1,1.5,nuageux
2023-02-06,Bordeaux,17.3,0.0,ensoleillé
2023-02-06,Toulouse,21.0,0.0,nuageux
2023-02-06,Lille,22.0,0.0,ensoleillé
2023-02-06,Strasbourg,25.1,1.7,pluie
2023-02-06,Nantes,21.3,2.5,ensoleillé
2023-02-06,Chamonix,28.3,2.5,orage
2023-02-07,Paris,10.8,0.0,nuageux
2023-02-07,Lyon,16.9,1.0,pluie
2023-02-07,Marseille,22.6,0.0,pluie
2023-02-07,Nice,20.9,0.0,nuageux
2023-02-07,Bordeaux,16.9,0.0,ensoleillé
2023-02-07,Toulouse,15.4,0.0,ensoleillé
2023-02-07,Lille,15.1,2.6,nuageux
2023-02-07,Strasbourg,15.3,4.9,ensoleillé
2023-02-07,Nantes,22.5,1.3,ensoleillé
2023-02-07,Chamonix,15.7,2.1,pluie
2023-02-08,Paris,17.1,1.2,pluie
2023-02-08,Lyon,32.8,0.9,ensoleillé
2023-02-08,Marseille,25.7,0.0,ensoleillé
2023-02-08,Nice,19.8,3.7,nuageux
2023-02-08,Bordeaux,16.9,3.7,nuageux
2023-02-08,Toulouse,23.5,0.2,ensoleillé
2023-02-08,Lille,23.2,2.5,ensoleillé
2023-02-08,Strasbourg,23.1,0.0,nuageux
2023-02-08,Nantes,16.4,0.6,orage
2023-02-08,Chamonix,19.6,1.9,nuageux
2023-02-09,Paris,20.9,0.0,orage
2023-02-09,Lyon,21.9,1.9,nuageux
2023-02-09,Marseille,22.8,2.6,ensoleillé
2023-02-09,Nice,24.2,1.7,nuageux
2023-02-09,Bordeaux,19.6,0.0,ensoleillé
2023-02-09,Toulouse,22.1,1.3,ensoleillé
2023-02-09,Lille,21.4,0.0,nuageux
2023-02-09,Strasbourg,14.6,2.6,nuageux
2023-02-09,Nantes,19.8,2.0,nuageux
2023-02-09,Chamonix,20.1,1.0,nuageux
2023-02-10,Paris,24.7,0.2,nuageux
2023-02-10,Lyon,20.5,0.3,ensoleillé
2023-02-10,Marseille,17.8,0.5,nuageux
2023-02-10,Nice,21.1,0.3,orage
2023-02-10,Bordeaux,26.3,0.0,pluie
2023-02-10,Toulouse,19.1,0.3,ensoleillé
2023-02-10,Lille,27.2,1.3,ensoleillé
2023-02-10,Strasbourg,25.2,0.0,nuageux
2023-02-10,Nantes,21.3,2.3,nuageux
2023-02-10,Chamonix,20.4,2.6,ensoleillé
2023-02-11,Paris,17.4,3.1,pluie
2023-02-11,Lyon,31.5,0.5,pluie
2023-02-11,Marseille,17.8,3.2,nuageux
2023-02-11,Nice,27.9,0.2,ensoleillé
2023-02-11,Bordeaux,17.9,0.6,ensoleillé
2023-02-11,Toulouse,13.3,0.0,ensoleillé
2023-02-11,Lille,15.0,0.0,ensoleillé
2023-02-11,Strasbourg,19.8,1.4,nuageux
2023-02-11,Nantes,27.8,0.0,pluie
2023-02-11,Chamonix,24.9,0.7,ensoleillé
2023-02-12,Paris,19.8,2.0,nuageux
2023-02-12,Lyon,14.4,1.6,nuageux
2023-02-12,Marseille,20.8,1.7,ensoleillé
2023-02-12,Nice,21.4,4.7,nuageux
2023-02-12,Bordeaux,16.8,0.2,nuageux
2023-02-12,Toulouse,16.9,0.2,ensoleillé
2023-02-12,Lille,16.8,2.8,nuageux
2023-02-12,Strasbourg,27.1,0.1,ensoleillé
2023-02-12,Nantes,15.8,1.7,pluie
2023-02-12,Chamonix,17.2,1.9,pluie
2023-02-13,Paris,21.0,0.0,ensoleillé
2023-02-13,Lyon,27.7,3.7,nuageux
2023-02-13,Marseille,16.9,0.4,ensoleillé
2023-02-13,Nice,21.4,1.5,neige
2023-02-13,Bordeaux,23.3,4.0,nuageux
2023-02-13,Toulouse,19.1,0.0,ensoleillé
2023-02-13,Lille,13.1,0.0,ensoleillé
2023-02-13,Strasbourg,19.8,3.7,pluie
2023-02-13,Nantes,17.4,1.3,nuageux
2023-02-13,Chamonix,19.9,2.8,pluie
2023-02-14,Paris,32.6,0.2,nuageux
2023-02-14,Lyon,17.6,2.6,neige
2023-02-14,Marseille,23.4,3.8,nuageux
2023-02-14,Nice,22.9,0.5,neige
2023-02-14,Bordeaux,23.0,2.7,pluie
2023-02-14,Toulouse,24.1,1.8,nuageux
2023-02-14,Lille,25.3,2.8,pluie
2023-02-14,Strasbourg,26.9,2.0,nuageux
2023-02-14,Nantes,19.2,1.2,pluie
2023-02-14,Chamonix,26.0,0.0,nuageux
2023-02-15,Paris,21.8,0.4,pluie
2023-02-15,Lyon,20.1,2.9,pluie
2023-02-15,Marseille,21.0,1.1,nuageux
2023-02-15,Nice,13.2,2.1,ensoleillé
2023-02-15,Bordeaux,23.2,4.2,ensoleillé
2023-02-15,Toulouse,18.5,1.3,nuageux
2023-02-15,Lille,21.2,3.4,pluie
2023-02-15,Strasbourg,19.5,1.4,nuageux
2023-02-15,Nantes,23.0,1.3,nuageux
2023-02-15,Chamonix,17.8,1.3,ensoleillé
2023-02-16,Paris,25.4,0.0,ensoleillé
2023-02-16,Lyon,20.7,0.0,ensoleillé
2023-02-16,Marseille,26.0,0.0,ensoleillé
2023-02-16,Nice,17.2,1.6,ensoleillé
2023-02-16,Bordeaux,27.8,0.9,nuageux
2023-02-16,Toulouse,17.2,3.8,ensoleillé
2023-02-16,Lille,12.8,0.0,ensoleillé
2023-02-16,Strasbourg,22.2,0.2,nuageux
2023-02-16,Nantes,14.9,2.1,pluie
2023-02-16,Chamonix,21.2,0.2,ensoleillé
2023-02-17,Paris,13.6,2.3,nuageux
2023-02-17,Lyon,23.3,0.9,nuageux
2023-02-17,Marseille,29.2,0.0,nuageux
2023-02-17,Nice,12.4,0.0,ensoleillé
2023-02-17,Bordeaux,19.8,1.4,nuageux
2023-02-17,Toulouse,18.8,1.5,orage
2023-02-17,Lille,13.7,3.2,nuageux
2023-02-17,Strasbourg,19.6,2.7,nuageux
2023-02-17,Nantes,21.7,1.7,pluie
2023-02-17,Chamonix,22.8,1.7,pluie
2023-02-18,Paris,23.2,3.0,ensoleillé
2023-02-18,Lyon,21.0,2.1,ensoleillé
2023-02-18,Marseille,19.6,3.2,ensoleillé
2023-02-18,Nice,16.6,3.7,pluie
2023-02-18,Bordeaux,19.8,0.0,pluie
2023-02-18,Toulouse,20.6,0.0,neige
2023-02-18,Lille,24.2,0.0,nuageux
2023-02-18,Strasbourg,17.8,0.0,pluie
2023-02-18,Nantes,17.7,0.0,nuageux
2023-02-18,Chamonix,12.1,2.1,nuageux
2023-02-19,Paris,23.9,1.6,ensoleillé
2023-02-19,Lyon,15.2,0.9,ensoleillé
2023-02-19,Marseille,20.0,0.0,nuageux
2023-02-19,Nice,27.5,2.3,ensoleillé
2023-02-19,Bordeaux,18.9,1.0,ensoleillé
2023-02-19,Toulouse,21.0,0.0,nuageux
2023-02-19,Lille,18.8,0.0,nuageux
2023-02-19,Strasbourg,15.0,0.6,ensoleillé
2023-02-19,Nantes,29.0,2.0,nuageux
2023-02-19,Chamonix,17.1,1.9,ensoleillé
2023-02-20,Paris,27.0,2.4,nuageux
2023-02-20,Lyon,20.3,0.0,ensoleillé
2023-02-20,Marseille,23.5,1.6,ensoleillé
2023-02-20,Nice,24.5,2.0,nuageux
2023-02-20,Bordeaux,25.2,0.2,ensoleillé
2023-02-20,Toulouse,26.6,1.3,nuageux
2023-02-20,Lille,30.4,0.0,ensoleillé
2023-02-20,Strasbourg,28.7,1.3,nuageux
2023-02-20,Nantes,16.7,0.3,ensoleillé
2023-02-20,Chamonix,18.4,1.6,ensoleillé
2023-02-21,Paris,22.6,0.1,ensoleillé
2023-02-21,Lyon,19.9,4.2,ensoleillé
2023-02-21,Marseille,28.6,1.7,pluie
2023-02-21,Nice,20.2,1.2,ensoleillé
2023-02-21,Bordeaux,23.1,0.0,pluie
2023-02-21,Toulouse,18.7,0.0,pluie
2023-02-21,Lille,22.0,2.0,ensoleillé
2023-02-21,Strasbourg,17.6,3.4,ensoleillé
2023-02-21,Nantes,13.9,0.0,ensoleillé
2023-02-21,Chamonix,21.1,2.6,nuageux
2023-02-22,Paris,28.4,0.3,neige
2023-02-22,Lyon,25.4,0.9,ensoleillé
2023-02-22,Marseille,19.1,2.3,nuageux
2023-02-22,Nice,23.3,0.0,pluie
2023-02-22,Bordeaux,27.4,3.1,nuageux
2023-02-22,Toulouse,16.9,1.6,pluie
2023-02-22,Lille,22.5,1.4,orage
2023-02-22,Strasbourg,17.2,0.0,ensoleillé
2023-02-22,Nantes,19.9,2.8,ensoleillé
2023-02-22,Chamonix,22.7,0.4,ensoleillé
2023-02-23,Paris,23.9,0.0,ensoleillé
2023-02-23,Lyon,25.7,0.0,nuageux
2023-02-23,Marseille,18.2,0.0,nuageux
2023-02-23,Nice,13.5,2.7,ensoleillé
2023-02-23,Bordeaux,17.7,1.5,nuageux
2023-02-23,Toulouse,19.8,1.7,pluie
2023-02-23,Lille,20.4,0.0,ensoleillé
2023-02-23,Strasbourg,25.0,0.3,nuageux
2023-02-23,Nantes,12.2,0.4,pluie
2023-02-23,Chamonix,27.5,2.3,ensoleillé
2023-02-24,Paris,18.3,0.5,pluie
2023-02-24,Lyon,18.4,4.1,neige
