date_log,session_id,client_id,ip_address,user_agent,search_query,filters,results_count,page_number,action
2025-04-22T14:03:16,SES-2023-1456,67,94.240.237.236,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Marseille,"{""date"": ""2025-05-02"", ""categorie"": ""Luxe""}",14,1,view_results
2025-04-09T15:49:46,SES-2023-1200,163,182.5.151.69,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Chamonix,"{""date"": ""2025-04-19"", ""categorie"": ""Nature""}",21,1,filter_results
2025-02-08T23:06:21,SES-2023-0609,75,133.242.218.189,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Paris,"{""date"": ""2025-02-18"", ""categorie"": ""Nature""}",8,1,view_results
2025-02-26T10:08:25,SES-2023-1259,139,36.30.171.98,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Bordeaux,"{""date"": ""2025-03-08"", ""categorie"": ""Sport""}",30,1,filter_results
2024-12-20T01:43:37,SES-2023-0302,15,214.231.197.241,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Chamonix,"{""date"": ""2024-12-30"", ""categorie"": ""Famille"", ""prix_max"": 50}",5,1,filter_results
2025-04-06T20:56:55,SES-2023-0527,358,29.184.170.179,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Nantes,"{""date"": ""2025-04-16"", ""categorie"": ""Sport"", ""prix_max"": 20}",23,1,view_results
2025-03-05T01:54:59,SES-2023-0623,81,72.181.159.178,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Nantes,"{""date"": ""2025-03-15"", ""categorie"": ""Culture""}",25,1,view_results
2024-12-30T15:37:42,SES-2023-0854,82,23.62.93.110,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Chamonix,"{""date"": ""2025-01-09"", ""categorie"": ""Luxe""}",9,1,filter_results
2025-04-23T08:40:08,SES-2023-1000,277,32.183.149.221,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Strasbourg,"{""date"": ""2025-05-03"", ""categorie"": ""Sport""}",12,1,filter_results
2025-04-23T07:25:58,SES-2023-0473,179,217.199.184.99,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Strasbourg,"{""date"": ""2025-05-03"", ""categorie"": ""Gastronomie""}",23,1,filter_results
2025-01-01T21:35:46,SES-2023-1331,482,138.237.86.178,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Nice,"{""date"": ""2025-01-11"", ""categorie"": ""Famille""}",21,1,filter_results
2025-04-28T20:50:58,SES-2023-0005,486,168.138.110.78,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Bordeaux,"{""date"": ""2025-05-08"", ""categorie"": ""Culture""}",8,1,filter_results
2024-12-25T09:57:23,SES-2023-0489,52,142.176.175.225,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Nantes,"{""date"": ""2025-01-04"", ""categorie"": ""Sport""}",14,1,filter_results
2025-05-13T14:01:27,SES-2023-0413,125,166.150.182.9,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Paris,"{""date"": ""2025-05-23"", ""categorie"": ""Sport""}",23,1,filter_results
2025-04-16T23:19:46,SES-2023-0948,395,213.234.27.89,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Paris,"{""date"": ""2025-04-26"", ""categorie"": ""Sport"", ""prix_max"": 50}",17,1,view_results
2025-04-28T14:03:56,SES-2023-0851,241,117.0.179.147,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Paris,"{""date"": ""2025-05-08"", ""categorie"": ""Gastronomie"", ""prix_max"": 20}",22,1,view_results
2025-02-05T01:31:20,SES-2023-1468,97,211.3.59.110,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Paris,"{""date"": ""2025-02-15"", ""categorie"": ""Nature"", ""prix_max"": 10}",30,1,view_results
2025-05-29T06:35:15,SES-2023-0727,194,6.122.227.81,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Bordeaux,"{""date"": ""2025-06-08"", ""categorie"": ""Luxe""}",19,1,view_results
2025-02-01T11:59:47,SES-2023-1274,5,122.95.75.149,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Lille,"{""date"": ""2025-02-11"", ""categorie"": ""Famille""}",10,1,view_results
2025-05-03T21:06:16,SES-2023-1257,269,195.21.63.202,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Paris,"{""date"": ""2025-05-13"", ""categorie"": ""Sport"", ""prix_max"": 50}",11,1,view_results
2025-01-06T07:22:23,SES-2023-0173,435,129.248.233.68,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Nice,"{""date"": ""2025-01-16"", ""categorie"": ""Famille"", ""prix_max"": 50}",10,1,filter_results
2025-01-06T16:52:58,SES-2023-0838,88,143.168.91.135,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Chamonix,"{""date"": ""2025-01-16"", ""categorie"": ""Sport""}",23,1,view_results
2025-05-13T03:32:43,SES-2023-0337,92,174.241.94.85,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Lille,"{""date"": ""2025-05-23"", ""categorie"": ""Nature""}",16,1,filter_results
2024-12-08T13:44:36,SES-2023-1109,100,147.176.139.10,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Strasbourg,"{""date"": ""2024-12-18"", ""categorie"": ""Luxe""}",15,1,filter_results
2025-03-02T10:31:18,SES-2023-1496,362,37.208.172.20,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Chamonix,"{""date"": ""2025-03-12"", ""categorie"": ""Famille""}",28,1,view_results
2024-12-30T01:36:27,SES-2023-0816,274,155.64.64.190,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Chamonix,"{""date"": ""2025-01-09"", ""categorie"": ""Sport"", ""prix_max"": 30}",29,1,view_results
2025-04-13T19:10:57,SES-2023-1421,131,85.134.248.209,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Strasbourg,"{""date"": ""2025-04-23"", ""categorie"": ""Famille"", ""prix_max"": 20}",22,1,filter_results
2025-02-26T00:46:46,SES-2023-0435,284,196.8.66.7,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Nice,"{""date"": ""2025-03-08"", ""categorie"": ""Luxe""}",12,1,filter_results
2025-04-05T02:57:07,SES-2023-0535,233,164.143.99.169,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Marseille,"{""date"": ""2025-04-15"", ""categorie"": ""Famille"", ""prix_max"": 30}",24,1,filter_results
2024-12-27T03:51:53,SES-2023-0242,64,54.127.216.53,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Bordeaux,"{""date"": ""2025-01-06"", ""categorie"": ""Luxe""}",21,1,filter_results
2025-01-13T12:17:27,SES-2023-0246,289,132.40.51.67,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Strasbourg,"{""date"": ""2025-01-23"", ""categorie"": ""Famille""}",14,1,view_results
2025-05-30T09:07:37,SES-2023-1207,329,96.79.187.68,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Paris,"{""date"": ""2025-06-09"", ""categorie"": ""Sport"", ""prix_max"": 10}",21,1,view_results
2025-02-07T06:32:49,SES-2023-0173,438,40.151.78.242,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Bordeaux,"{""date"": ""2025-02-17"", ""categorie"": ""Culture""}",9,1,filter_results
2025-02-03T10:05:58,SES-2023-1094,453,170.95.148.46,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Nice,"{""date"": ""2025-02-13"", ""categorie"": ""Culture"", ""prix_max"": 10}",6,1,filter_results
2025-04-19T01:02:43,SES-2023-0052,451,131.146.68.212,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Toulouse,"{""date"": ""2025-04-29"", ""categorie"": ""Luxe"", ""prix_max"": 50}",12,1,filter_results
2025-03-15T21:43:42,SES-2023-0511,422,213.187.13.38,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Nice,"{""date"": ""2025-03-25"", ""categorie"": ""Famille"", ""prix_max"": 50}",8,1,filter_results
2025-02-20T00:22:45,SES-2023-1215,330,210.66.89.27,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Lille,"{""date"": ""2025-03-02"", ""categorie"": ""Culture"", ""prix_max"": 30}",12,1,view_results
2024-12-12T10:11:51,SES-2023-0059,102,148.95.32.89,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Marseille,"{""date"": ""2024-12-22"", ""categorie"": ""Gastronomie"", ""prix_max"": 30}",6,1,view_results
2025-02-19T14:04:03,SES-2023-1010,415,49.25.70.249,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Marseille,"{""date"": ""2025-03-01"", ""categorie"": ""Luxe""}",20,1,filter_results
2025-01-11T08:14:58,SES-2023-0505,51,181.157.28.0,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Lyon,"{""date"": ""2025-01-21"", ""categorie"": ""Luxe""}",29,1,view_results
2024-12-13T23:48:44,SES-2023-0807,187,139.43.0.15,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Lyon,"{""date"": ""2024-12-23"", ""categorie"": ""Luxe"", ""prix_max"": 10}",18,1,filter_results
2025-01-23T02:46:28,SES-2023-0166,416,28.54.27.3,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Nice,"{""date"": ""2025-02-02"", ""categorie"": ""Sport"", ""prix_max"": 20}",27,1,filter_results
2025-03-01T04:31:39,SES-2023-0810,116,155.25.107.154,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Lyon,"{""date"": ""2025-03-11"", ""categorie"": ""Famille"", ""prix_max"": 50}",17,1,view_results
2025-04-02T15:34:42,SES-2023-0635,17,106.175.163.240,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Lille,"{""date"": ""2025-04-12"", ""categorie"": ""Luxe"", ""prix_max"": 20}",24,1,view_results
2025-03-27T19:17:51,SES-2023-1036,484,46.212.97.242,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Chamonix,"{""date"": ""2025-04-06"", ""categorie"": ""Gastronomie"", ""prix_max"": 30}",6,1,filter_results
2025-03-21T11:25:37,SES-2023-1349,445,48.0.202.196,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Strasbourg,"{""date"": ""2025-03-31"", ""categorie"": ""Nature"", ""prix_max"": 20}",29,1,view_results
2024-12-25T04:23:57,SES-2023-0271,279,173.136.245.138,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Bordeaux,"{""date"": ""2025-01-04"", ""categorie"": ""Culture"", ""prix_max"": 30}",18,1,filter_results
2025-04-04T08:58:07,SES-2023-1364,138,142.192.111.99,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Strasbourg,"{""date"": ""2025-04-14"", ""categorie"": ""Culture""}",30,1,filter_results
2025-05-08T06:43:08,SES-2023-1060,216,162.7.112.204,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Bordeaux,"{""date"": ""2025-05-18"", ""categorie"": ""Luxe""}",22,1,view_results
2025-01-30T14:34:26,SES-2023-1057,35,137.133.224.218,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Lyon,"{""date"": ""2025-02-09"", ""categorie"": ""Nature""}",7,1,view_results
2025-02-02T06:01:01,SES-2023-0336,349,91.45.76.166,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Lyon,"{""date"": ""2025-02-12"", ""categorie"": ""Gastronomie""}",20,1,view_results
2025-04-16T21:38:36,SES-2023-0258,117,107.1.80.62,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Bordeaux,"{""date"": ""2025-04-26"", ""categorie"": ""Sport"", ""prix_max"": 20}",17,1,filter_results
2025-01-28T14:38:53,SES-2023-0788,333,44.230.141.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Chamonix,"{""date"": ""2025-02-07"", ""categorie"": ""Nature""}",6,1,view_results
2025-05-12T15:37:53,SES-2023-0133,408,46.185.128.146,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Nantes,"{""date"": ""2025-05-22"", ""categorie"": ""Gastronomie""}",25,1,filter_results
2025-01-22T09:22:57,SES-2023-0063,318,123.199.247.99,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Toulouse,"{""date"": ""2025-02-01"", ""categorie"": ""Gastronomie"", ""prix_max"": 50}",19,1,view_results
2025-02-17T04:15:41,SES-2023-0437,322,88.102.97.240,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Lille,"{""date"": ""2025-02-27"", ""categorie"": ""Famille"", ""prix_max"": 50}",7,1,filter_results
2025-03-01T20:21:44,SES-2023-1375,44,216.36.15.69,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Marseille,"{""date"": ""2025-03-11"", ""categorie"": ""Culture""}",17,1,filter_results
2025-04-28T05:22:28,SES-2023-0603,208,91.209.110.182,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Marseille,"{""date"": ""2025-05-08"", ""categorie"": ""Nature""}",11,1,filter_results
2025-05-06T20:15:11,SES-2023-0857,486,164.155.134.140,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Lille,"{""date"": ""2025-05-16"", ""categorie"": ""Famille"", ""prix_max"": 20}",14,1,filter_results
2025-01-10T06:34:03,SES-2023-1221,31,43.77.85.85,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Toulouse,"{""date"": ""2025-01-20"", ""categorie"": ""Luxe""}",10,1,view_results
2025-02-19T15:52:36,SES-2023-0353,389,205.17.131.18,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Bordeaux,"{""date"": ""2025-03-01"", ""categorie"": ""Famille"", ""prix_max"": 50}",11,1,view_results
2025-03-24T19:42:14,SES-2023-0140,123,33.85.44.81,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Bordeaux,"{""date"": ""2025-04-03"", ""categorie"": ""Sport""}",25,1,view_results
2025-03-04T11:40:53,SES-2023-0313,6,122.184.95.116,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Lyon,"{""date"": ""2025-03-14"", ""categorie"": ""Nature""}",17,1,view_results
2025-05-15T14:39:02,SES-2023-0696,16,174.199.119.158,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Lille,"{""date"": ""2025-05-25"", ""categorie"": ""Gastronomie"", ""prix_max"": 10}",11,1,filter_results
2025-01-07T19:40:01,SES-2023-0610,1,193.191.22.96,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Lille,"{""date"": ""2025-01-17"", ""categorie"": ""Famille""}",10,1,filter_results
2025-04-04T08:43:49,SES-2023-0948,96,125.235.29.94,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Nice,"{""date"": ""2025-04-14"", ""categorie"": ""Luxe""}",8,1,view_results
2025-05-19T22:44:30,SES-2023-0377,387,128.135.71.68,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Lille,"{""date"": ""2025-05-29"", ""categorie"": ""Gastronomie""}",20,1,view_results
2025-01-24T10:49:21,SES-2023-0131,205,155.1.56.53,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Paris,"{""date"": ""2025-02-03"", ""categorie"": ""Luxe"", ""prix_max"": 50}",13,1,filter_results
2025-01-31T04:15:33,SES-2023-0173,207,52.167.96.190,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Toulouse,"{""date"": ""2025-02-10"", ""categorie"": ""Sport""}",12,1,filter_results
2025-04-02T20:11:54,SES-2023-1220,492,94.25.202.65,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Chamonix,"{""date"": ""2025-04-12"", ""categorie"": ""Luxe""}",21,1,view_results
2025-02-23T18:23:22,SES-2023-0996,33,48.141.34.221,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Nantes,"{""date"": ""2025-03-05"", ""categorie"": ""Culture"", ""prix_max"": 50}",21,1,view_results
2025-03-06T01:37:00,SES-2023-0940,487,76.227.227.58,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Paris,"{""date"": ""2025-03-16"", ""categorie"": ""Famille""}",11,1,view_results
2024-12-08T00:43:43,SES-2023-1480,77,85.198.54.130,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Nice,"{""date"": ""2024-12-18"", ""categorie"": ""Nature""}",30,1,view_results
2025-01-29T08:24:11,SES-2023-0237,451,93.36.29.102,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Bordeaux,"{""date"": ""2025-02-08"", ""categorie"": ""Sport"", ""prix_max"": 30}",30,1,filter_results
2025-01-17T08:51:00,SES-2023-1418,126,206.71.70.60,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Marseille,"{""date"": ""2025-01-27"", ""categorie"": ""Gastronomie""}",27,1,filter_results
2025-04-29T18:16:16,SES-2023-0281,265,188.220.230.7,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Nice,"{""date"": ""2025-05-09"", ""categorie"": ""Culture""}",29,1,view_results
2025-04-15T15:53:04,SES-2023-0784,281,59.192.186.195,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Nantes,"{""date"": ""2025-04-25"", ""categorie"": ""Luxe"", ""prix_max"": 50}",29,1,view_results
2025-02-28T14:09:40,SES-2023-0838,466,24.67.74.59,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Toulouse,"{""date"": ""2025-03-10"", ""categorie"": ""Culture"", ""prix_max"": 10}",28,1,view_results
2025-03-05T21:19:17,SES-2023-0100,257,70.208.194.162,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Paris,"{""date"": ""2025-03-15"", ""categorie"": ""Nature""}",12,1,view_results
2025-03-06T00:04:31,SES-2023-1444,244,129.108.135.44,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Bordeaux,"{""date"": ""2025-03-16"", ""categorie"": ""Luxe"", ""prix_max"": 50}",13,1,filter_results
2025-05-25T12:16:54,SES-2023-1216,305,221.221.5.186,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Nantes,"{""date"": ""2025-06-04"", ""categorie"": ""Famille""}",28,1,view_results
2025-03-30T14:22:54,SES-2023-0625,257,80.177.247.146,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Bordeaux,"{""date"": ""2025-04-09"", ""categorie"": ""Sport"", ""prix_max"": 20}",28,1,filter_results
2025-04-06T18:44:13,SES-2023-0042,150,18.160.8.220,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Lyon,"{""date"": ""2025-04-16"", ""categorie"": ""Culture"", ""prix_max"": 30}",30,1,filter_results
2024-12-22T20:08:30,SES-2023-0713,245,77.192.205.190,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Lille,"{""date"": ""2025-01-01"", ""categorie"": ""Culture"", ""prix_max"": 20}",21,1,view_results
2025-05-11T04:31:37,SES-2023-0878,292,15.43.34.110,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Paris,"{""date"": ""2025-05-21"", ""categorie"": ""Famille""}",24,1,filter_results
2024-12-27T01:54:08,SES-2023-0515,183,62.191.112.32,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)...,activités Lille,"{""date"": ""2025-01-06"", ""categorie"": ""Luxe"", ""prix_max"": 20}",15,1,view_results
2025-05-17T04:17:28,SES-2023-0374,216,59.168.26.11,Mozilla/5.0 (iPhone; CPU iPhone OS 13_3)...,activités Lyon,"{""date"": ""2025-05-27"", ""categorie"": ""Gastronomie"", ""prix_max"": 20}",17,1,view_results
2025-04-27T11:51:21,SES-2023-0108,479,53.173.94.15,Mozilla/5.0 (Windows NT 10.0; Win64; x64)...,activités Toulouse,"{""date"": ""2025-05-07"", ""categorie"": ""Luxe"", ""prix_max"": 50}",9,1,filter_results
